,CMIN3.SA,CCRO3.SA,GOAU4.SA,BBDC3.SA,PRIO3.SA,VIVT3.SA,MULT3.SA,BBSE3.SA,DXCO3.SA,BBAS3.SA,GMAT3.SA,HYPE3.SA,PETR3.SA,USIM5.SA,LREN3.SA,UGPA3.SA,EGIE3.SA,ENGI11.SA,PETR4.SA,B3SA3.SA,SLCE3.SA,BBDC4.SA,SUZB3.SA,VALE3.SA,ECOR3.SA,CRFB3.SA,ABEV3.SA,GGBR4.SA,MRFG3.SA,CSNA3.SA,CYRE3.SA,ITUB4.SA,PSSA3.SA,BEEF3.SA,CSAN3.SA,SIMH3.SA,ITSA4.SA,RECV3.SA,CMIG4.SA,VBBR3.SA,JBSS3.SA,STBP3.SA,CPLE6.SA,EZTC3.SA,BRAP4.SA,CPFE3.SA,GOLL4.SA,SANB11.SA,ALOS3.SA,RAIZ4.SA,DIRR3.SA,YDUQ3.SA,BPAC11.SA,SMTO3.SA,EQTL3.SA,ENEV3.SA,ELET6.SA,MRVE3.SA,ELET3.SA,MDIA3.SA,SBSP3.SA,TOTS3.SA,EMBR3.SA,FLRY3.SA,NTCO3.SA
2023-08-07,0.0000,,0.0000,0.0000,0.0000,0.0735,0.0000,0.1403,0.0000,0.0000,,0.0140,0.0000,0.0000,,,0.3300,0.0000,0.0178,,0.0857,0.0000,0.1798,0.0262,0.0000,,,0.0000,,0.0000,0.0000,0.0000,0.0100,,,,0.0000,0.0000,0.0000,,,,0.0000,,0.0000,0.0780,0.0000,0.0000,0.0000,0.0000,0.0447,0.0000,0.0000,0.0000,,,,,,,,,,,
2023-08-14,0.0000,,0.0000,0.0000,0.0000,0.0750,0.0000,0.1653,0.0000,0.0000,0.0000,0.0027,0.0000,0.0000,,,0.2924,0.0000,0.0283,,0.0841,0.0000,0.1833,0.0204,0.0000,,,0.0000,,0.0000,0.0000,0.0000,0.0059,,,,0.0000,0.0000,0.0000,,,,0.0000,,0.0000,0.0857,0.0000,0.0000,0.0000,0.0000,0.0509,,0.0000,0.0000,0.0060,0.0000,0.0000,0.0000,0.0000,,,,,,
2023-08-21,0.0000,,0.0000,0.0000,0.0000,0.0587,0.0000,0.1690,0.0000,0.0000,0.0000,0.0000,0.0042,0.0000,,,0.2767,0.0000,0.0215,0.0000,0.0776,0.0000,0.1798,0.0107,0.0000,,,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0428,,,0.0000,0.0000,0.0000,,,,,,0.0000,0.0790,0.0000,0.0000,0.0000,0.0000,0.0387,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0413,,,,,
2023-08-28,0.0000,,0.0000,0.0000,0.0000,0.0475,0.0000,0.1762,0.0000,0.0000,0.0000,0.0000,0.0021,0.0000,,,0.2794,0.0000,0.0299,,0.0777,0.0000,0.1774,0.0067,0.0000,,,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0447,,,0.0000,0.0000,0.0000,,,,,,0.0000,0.0797,0.0000,0.0000,,0.0000,0.0388,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0397,,,,,
2023-09-04,0.0000,,0.0000,0.0000,0.0000,0.0665,0.0000,0.1763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.2579,0.0000,0.0325,0.0000,0.0682,0.0000,0.1789,0.0236,0.0000,,,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0368,,,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,0.0793,0.0000,0.0000,0.0000,0.0000,0.0428,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0371,,,,,
2023-09-11,0.0000,,0.0000,0.0000,0.0000,0.0844,0.0000,0.1824,0.0000,0.0000,0.0000,0.0000,0.0028,0.0000,0.0000,,0.2502,0.0000,0.0423,0.0000,0.0696,0.0000,0.1728,0.0232,0.0000,,,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0249,,,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,0.0664,0.0000,0.0000,0.0000,0.0000,0.0378,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0432,,,,,
2023-09-18,0.0000,,0.0000,0.0000,0.0000,0.0963,0.0000,0.1452,0.0000,0.0000,0.0000,0.0000,0.0075,0.0000,0.0000,,0.2741,0.0000,0.0138,0.0000,0.0668,0.0000,0.1865,0.0433,0.0000,,,0.0000,,0.0000,0.0000,0.0000,0.0227,0.0151,,,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,0.0556,0.0000,0.0000,,0.0000,0.0291,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0441,,,,,
2023-09-25,0.0000,,0.0000,0.0000,0.0000,0.0970,0.0000,0.1433,0.0000,0.0000,0.0000,0.0000,0.0108,0.0000,0.0000,,0.2768,0.0000,0.0077,0.0000,0.0665,0.0000,0.1879,0.0431,0.0000,,,0.0000,,0.0000,0.0000,0.0000,0.0256,0.0158,,,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,0.0552,0.0000,0.0000,0.0000,0.0000,0.0278,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0424,,,,,
2023-10-02,0.0000,,0.0000,0.0000,0.0000,0.0985,0.0000,0.1470,0.0000,0.0000,0.0000,0.0020,0.0023,0.0000,0.0000,,0.2588,0.0000,0.0265,0.0000,0.0616,0.0000,0.1948,0.0430,0.0000,,,0.0000,,0.0000,0.0000,0.0000,0.0267,0.0111,,,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,0.0503,0.0000,0.0000,0.0000,0.0000,0.0358,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0415,,,,,
2023-10-09,0.0000,,0.0000,0.0000,0.0000,0.0723,0.0000,0.1475,0.0000,0.0000,0.0000,0.0301,0.0005,0.0000,0.0000,,0.2562,0.0000,0.0095,0.0000,0.0525,0.0000,0.2085,0.0407,0.0000,,,0.0000,,0.0000,0.0000,0.0048,0.0440,0.0102,,,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,0.0537,0.0000,0.0000,0.0000,0.0000,0.0290,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0405,,,,,
