date,ABEV3.SA,ALOS3.SA,ALPA4.SA,AZUL4.SA,AZZA3.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BHIA3.SA,BOVA11.SA,BPAC11.SA,BRAP4.SA,BRAV3.SA,BRAX11.SA,BRFS3.SA,BRKM5.SA,CASH3.SA,CBAV3.SA,CCRO3.SA,CMIG4.SA,CMIN3.SA,COGN3.SA,CPFE3.SA,CPLE6.SA,CRFB3.SA,CSAN3.SA,CSNA3.SA,CVCB3.SA,CYRE3.SA,DIRR3.SA,DXCO3.SA,ECOR3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GMAT3.SA,GOAU4.SA,GOLL4.SA,HAPV3.SA,HYPE3.SA,IGTI11.SA,IRBR3.SA,ISAE4.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,KLBN11.SA,LREN3.SA,LWSA3.SA,MDIA3.SA,MGLU3.SA,MOVI3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,NTCO3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PETZ3.SA,PRIO3.SA,PSSA3.SA,QUAL3.SA,RADL3.SA,RAIL3.SA,RAIZ4.SA,RDOR3.SA,RECV3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SIMH3.SA,SLCE3.SA,SMTO3.SA,STBP3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VAMO3.SA,VBBR3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2020-06-26,19033900,1863500,1642600,15986100,842400,28128029,14602600,5480090,55023540,2644900,5059800,2800956,7314530,19133200,1606400,,32940,6294400,4233000,,,10091800,24913495,,54159200,2185700,7676000,2865800,1395400,7231600,3863800,7859600,996507,2394590,2837200,1942600,5460000,2061300,10332000,4354800,736500,6215500,1694300,1433740,18321666,,10830400,14541500,1689100,3107900,,74189800,1646600,52456762,43629740,11736200,8632469,11171980,2570600,835000,8181400,1219500,7058300,2180300,8815400,5172800,872900,14021000,55499300,,2694000,527000,2204000,1121200,6003500,,,,6447900,4966200,5121500,1061700,2978778,3045400,5495700,5720500,4013800,6249000,2304047,6070300,12063000,21655500,,5640600,148600,8209600,2384800
2020-06-29,21982000,1663100,1692800,26190500,357500,26237727,18091800,4194344,59291694,3800300,3883400,5197041,8953540,16090800,1694200,,5480,14807200,2436200,,,5237200,14153214,,61591400,2125400,5986000,4764500,829600,10582300,4986600,6480300,991084,2413708,5059400,1782900,3457600,2488800,17778600,2588000,614100,7474300,2069000,1199167,16873674,,10355000,13863600,1168400,2136200,,61995400,1309800,57000334,33844030,11852700,6984010,6900771,1153700,904500,8194800,2216000,4730000,3057400,5233300,4223100,1567300,10418000,59809600,,2174800,565400,2179600,729500,6839600,,,,3952400,6732000,3447300,1007700,2396042,1514100,3031700,3995100,1570300,9955700,1427097,4688300,16956500,15453400,,5947600,145800,3371300,3050600
2020-06-30,34494500,1484500,1537000,13621900,1094500,39311141,24787000,8364609,54322829,4799200,6197800,3665027,8847600,21161600,2670000,,3370,9821600,3272100,,,6964100,21548418,,61438900,2552900,11622000,3393200,1948200,9939900,4165100,6615200,1663957,4830199,6462800,2138000,4704400,3514200,14976300,9069600,1570600,8729000,2677500,2146157,18334518,,15791700,9827400,2063500,3207000,,131216800,3680900,49412088,50302120,13404300,12141799,7950279,1290500,866600,12786800,3336900,8239600,5382900,3819200,5278600,1652500,20251000,65010600,,2262300,945800,3208000,2009500,11261700,,,,5969100,4398200,2852000,1701300,3752452,5299600,4426700,9697400,3378900,9082600,5119547,5341700,19728200,27462900,,9184900,164000,5522800,2602500
2020-07-01,20598800,1807600,1560000,20704400,627300,32481634,16913300,6658388,40633494,4165700,6093100,3647896,7999480,15050400,4051700,,6980,13305000,2387800,,,6728500,12572199,,56557700,4035000,16439000,5103800,2611400,12092400,5160300,12044600,2494280,4543550,7719100,2565700,6625200,5670000,14303800,6640400,1479200,9413300,5005600,1992178,30920033,,20166600,20608100,1801800,3781900,,90070200,2051600,32665160,43048940,11810700,10731049,7369726,3507500,812800,8795100,7042600,12008900,3430000,5442600,7871200,1185700,17833100,78983900,,3955800,634600,2831000,2057300,9278100,,,,7183700,3911300,4076300,3677100,4649788,2953800,5113000,7513600,3409000,8250100,5880011,6068900,26260300,28999400,,8675100,162200,4450800,3834200
2020-07-02,27204800,1304000,1697600,17127400,646400,21089122,19809800,4115573,45546578,3044800,3065400,5763509,7040720,16826400,1802900,,1250,13623100,2275100,,,8119600,11195211,,86163000,2615100,29573000,6533100,1382900,11294300,3289000,7961800,1596278,5824819,4997000,2220300,3623500,2416500,19714200,9190800,1763400,6908000,3318000,1742970,17960298,,13092200,12756800,2305100,5323300,,104423300,1675500,38287502,45758130,11101200,8022519,8911362,2729200,1057800,10680200,2652500,9884300,4681600,6930600,10671500,1322900,13406400,56345900,,3676500,795300,2444600,1226000,7310900,,,,5023900,4423600,3370500,1600600,3684450,2156100,4341500,7774200,2774800,10006800,3996796,3183300,13160600,24148500,,9354900,175200,4612700,3833100
2020-07-03,6936300,1061500,1716300,8856300,320000,7966808,8103600,2165658,15265844,1560900,6236900,2385460,6147190,8247200,663500,,750,7670300,1061300,,,2482400,6338970,,34137300,850900,7610000,2500100,763500,6203100,2748900,4592400,1522675,3504523,1571100,1249900,2125300,1714400,5359900,5242400,1015600,3845000,1367400,583040,5722922,,4911600,7531400,828100,3430600,,126017500,1241100,13448842,11265540,14041500,3743520,5213021,1097600,391400,7038300,1770100,4383600,4401400,3721800,3828400,839200,3200700,24060000,,2052500,390200,1270000,382800,2780500,,,,2493900,3130300,1091000,1056700,1333662,1076400,2518900,3842100,998900,8120100,1901059,6219400,8574600,7831800,,5944400,163200,3277100,1338900
2020-07-06,24172400,1938500,1474500,15899900,533600,19349720,18941500,7235437,69057483,5150000,4992900,2017167,7592660,14847200,1902800,,860,15764400,1290500,,,10450200,11344700,,129911800,5561400,10140000,4892200,4057000,9973900,8348900,7886700,1211392,10108703,7579500,2573400,5032700,3099700,12799700,9960800,1823500,8784100,2384300,1780935,15400355,,20030700,12028300,2443400,3263600,,67848500,1635200,32950171,32306230,14251800,6932640,9797924,2202800,539700,8107200,5847400,7933400,3996300,7369500,6322800,985800,15354300,58070900,,6304100,501800,5746300,834700,12895900,,,,5965100,2793400,2249400,1511100,2968130,1470400,6069300,4861900,2279200,9406800,3435319,5282600,18511500,23609900,,7722600,150400,5533900,5391600
2020-07-07,22474700,1119300,1123600,16832000,1219000,27045928,22947900,7431336,67814208,6535600,8819200,2137452,8578060,11095200,1133100,,850,15026800,1901400,,,4937900,13730250,,76803500,3187200,10837000,4160000,3053200,7952700,9781600,7451500,544544,6748291,2722100,1793700,5619500,2646500,10157900,3528000,1616600,6636300,2889600,2051034,14872415,,10477100,13159000,3079500,3936200,,34126200,2044100,54973036,71409030,28397000,8292129,7183120,2533100,830100,12363700,6860600,32145300,4942500,5128000,6409400,1291600,9997800,46591300,,2736300,668000,4504500,862400,5146800,,,,6948200,4078000,2539300,1143100,2840596,1821400,2366700,9590000,2735000,7699700,5796507,5772800,12914200,13598400,,5096000,136600,4786700,4482700
2020-07-08,39318500,1517900,1992800,10622900,858400,41420743,17591100,5973891,63011960,3972500,4609300,3187367,7350220,12497200,2011500,,670,8223000,6551400,,,9336800,10630016,,67503500,3730700,13205000,3757800,2413900,9822800,11441900,13724900,1361109,4294895,4726700,2033100,4010200,2934800,9322300,2674400,1204600,9661400,2580500,2255490,19384225,,11837400,9147900,2029200,3274900,,36553600,2253100,28184398,37387460,12286200,6171550,8976613,2231200,701900,11615800,3011500,12681100,11165600,4424700,19415400,1107400,11690600,49136300,,4030300,498100,4326100,798600,8499900,,,,6039500,2969000,2189800,888200,5038682,1107000,2590300,6593000,2908800,13045400,4225456,15004300,17585500,32634600,,6749500,213400,3788600,2680300
2020-07-09,31518600,1625800,1124600,11763400,496200,40323042,11144600,6111710,97748398,3234300,3479100,5099899,8092520,12393200,1548400,,21720,6747700,7788600,,,14399200,11110265,,47866300,4480700,7493000,6672400,1685600,9685600,5287800,8821200,1021108,2405601,4441700,3882400,17609400,10888000,11305000,3654800,942200,8377400,1700200,1009557,16123344,,10829400,11058900,1580400,3483700,,85072400,2072200,29544706,47828000,10808500,4648490,6793808,1709100,506300,11588100,1945900,7839700,3487700,7664100,3012200,1106700,11527200,57151500,,4600100,516300,3378700,605400,6709200,,,,5200300,2775600,3270500,795300,5331502,2233300,3865500,5228300,1910700,10316400,3645735,4307500,17978100,19741600,,5216000,141200,3717100,1834100
