,CMIN3.SA,GOAU4.SA,PRIO3.SA,BBDC3.SA,VIVT3.SA,MULT3.SA,DXCO3.SA,BBAS3.SA,RENT3.SA,GMAT3.SA,HYPE3.SA,KLBN11.SA,USIM5.SA,LREN3.SA,TAEE11.SA,AZUL4.SA,ENGI11.SA,SMTO3.SA,ISAE4.SA,B3SA3.SA,SLCE3.SA,CBAV3.SA,BBDC4.SA,ELET3.SA,VALE3.SA,ECOR3.SA,CRFB3.SA,ABEV3.SA,GGBR4.SA,VAMO3.SA,MRFG3.SA,PCAR3.SA,CSNA3.SA,CYRE3.SA,ITUB4.SA,PSSA3.SA,FLRY3.SA,BEEF3.SA,CSAN3.SA,AZZA3.SA,BRKM5.SA,SIMH3.SA,ITSA4.SA,MDIA3.SA,VBBR3.SA,JBSS3.SA,STBP3.SA,CPLE6.SA,EZTC3.SA,EQTL3.SA,CMIG4.SA,CPFE3.SA,QUAL3.SA,GOLL4.SA,SUZB3.SA,SANB11.SA,CCRO3.SA,UGPA3.SA,EGIE3.SA,RAIZ4.SA,PETR4.SA,YDUQ3.SA,PETR3.SA,DIRR3.SA,BPAC11.SA,COGN3.SA,BBSE3.SA,MRVE3.SA,RECV3.SA,IGTI11.SA,ENEV3.SA,BRAV3.SA,LWSA3.SA,RADL3.SA,ELET6.SA,CVCB3.SA,SBSP3.SA,RAIL3.SA,TOTS3.SA,CASH3.SA,BHIA3.SA,MGLU3.SA,NTCO3.SA
2023-08-07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0096,,0.0000,0.0000,0.2518,0.0000,0.0000,0.0000,0.0000,0.0000,0.0889,0.0000,0.0000,,0.0234,0.0000,0.0000,0.1128,0.0000,0.0000,,,0.0000,0.0000,0.0032,0.0000,0.0000,0.0054,0.0000,,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,,,0.0191,0.0000,0.0000,0.1786,0.0000,0.0000,0.0000,0.1112,0.0000,0.0000,0.0000,0.0000,0.0730,0.0000,0.0000,0.1232,0.0000,0.0000,0.0000,,,,,,,,,,,,,
2023-08-14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.2531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0885,0.0000,0.0000,,0.0307,0.0000,0.0000,0.0977,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0334,,,,0.0000,0.0000,0.0000,,0.0152,0.0000,0.0000,0.1816,0.0000,0.0000,0.0000,0.0879,0.0000,0.0000,,0.0000,0.0639,0.0000,,0.1481,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,
2023-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.2379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0800,0.0000,0.0000,,0.0218,0.0000,0.0000,0.0748,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0073,,0.0000,0.0000,0.0000,,0.0361,,,,,0.0000,0.0000,,0.0329,0.0000,0.0000,0.1873,0.0000,0.0000,0.0000,0.0974,0.0000,0.0001,,0.0000,0.0704,0.0000,,0.1540,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,
2023-08-28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.2314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0791,0.0000,0.0000,,0.0241,0.0000,0.0000,0.0656,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0064,,0.0000,0.0000,0.0000,,0.0360,,,,,0.0000,0.0000,,0.0325,0.0000,0.0000,0.1845,0.0000,0.0000,0.0000,0.1150,0.0000,0.0029,,0.0000,0.0686,0.0000,,0.1540,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,
2023-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.2343,0.0000,0.0000,0.0000,0.0000,0.0000,0.0792,0.0000,0.0000,,0.0294,0.0000,0.0000,0.0691,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0344,,,,,0.0000,0.0000,,0.0306,0.0000,0.0000,0.1847,0.0000,0.0000,0.0000,0.1152,0.0000,0.0020,,0.0000,0.0677,0.0000,,0.1534,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,
2023-09-11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.2217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0796,0.0000,0.0000,,0.0274,0.0000,0.0000,0.0571,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0031,,0.0000,0.0000,0.0000,,0.0405,,,,,0.0000,0.0000,,0.0332,0.0000,0.0000,0.1798,0.0000,0.0000,0.0000,0.1072,0.0000,0.0000,,0.0153,0.0649,0.0000,,0.1702,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,
2023-09-18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.2387,0.0000,0.0000,0.0000,0.0000,0.0000,0.0807,0.0000,0.0000,,0.0250,0.0000,0.0000,0.0840,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0039,,0.0000,0.0000,0.0000,,0.0340,,,,,0.0000,0.0000,,0.0227,0.0000,0.0000,0.1764,0.0000,0.0000,0.0000,0.1050,0.0000,0.0000,,0.0091,0.0609,0.0000,,0.1596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,
2023-09-25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.2388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0801,0.0000,0.0000,,0.0213,0.0000,0.0000,0.0887,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,,0.0000,0.0000,0.0000,,0.0315,,,,,0.0000,0.0000,,0.0222,0.0000,0.0000,0.1826,0.0000,0.0000,0.0000,0.1082,0.0000,0.0000,,0.0093,0.0563,0.0000,,0.1590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,
2023-10-02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.2423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0838,0.0000,0.0000,,0.0199,0.0000,0.0000,0.0880,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0325,,,,,0.0000,0.0000,,0.0139,0.0000,0.0000,0.1838,0.0000,0.0000,0.0000,0.0883,0.0000,0.0000,,0.0177,0.0642,0.0000,,0.1655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,
2023-10-09,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.2394,0.0000,0.0000,0.0000,0.0000,0.0000,0.0797,0.0000,0.0000,,0.0196,0.0000,0.0000,0.0850,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0368,,,,,0.0000,0.0000,,0.0150,0.0000,0.0000,0.1894,0.0000,0.0000,0.0000,0.0754,0.0000,0.0000,,0.0182,0.0600,0.0000,,0.1815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,
