,CMIN3.SA,CCRO3.SA,GOAU4.SA,BBDC3.SA,PRIO3.SA,VIVT3.SA,MULT3.SA,BBSE3.SA,DXCO3.SA,BBAS3.SA,GMAT3.SA,HYPE3.SA,PETR3.SA,KLBN11.SA,USIM5.SA,ELET6.SA,LREN3.SA,MDIA3.SA,UGPA3.SA,EGIE3.SA,ENGI11.SA,SMTO3.SA,PETR4.SA,B3SA3.SA,SLCE3.SA,BBDC4.SA,ELET3.SA,SUZB3.SA,VALE3.SA,ECOR3.SA,CRFB3.SA,ABEV3.SA,GGBR4.SA,VAMO3.SA,MRFG3.SA,CSNA3.SA,CYRE3.SA,ITUB4.SA,PSSA3.SA,TIMS3.SA,FLRY3.SA,BEEF3.SA,CSAN3.SA,SIMH3.SA,ITSA4.SA,RECV3.SA,CMIG4.SA,VBBR3.SA,JBSS3.SA,STBP3.SA,CPLE6.SA,EZTC3.SA,EQTL3.SA,BRAP4.SA,CPFE3.SA,GOLL4.SA,SANB11.SA,BRKM5.SA,ALOS3.SA,RAIZ4.SA,COGN3.SA,DIRR3.SA,YDUQ3.SA,BPAC11.SA,IGTI11.SA,ENEV3.SA,MRVE3.SA,SBSP3.SA,RAIL3.SA,TOTS3.SA,EMBR3.SA,RENT3.SA,NTCO3.SA
2023-08-07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1225,0.0000,0.0000,0.0000,0.0377,0.0000,,0.0000,,0.0000,,0.0000,0.2329,0.0000,0.0000,0.0000,0.0000,0.0759,0.0000,,0.2058,0.0241,0.0000,,0.1189,0.0000,0.0000,,0.0000,0.0000,0.0077,0.0101,0.0000,0.0000,0.0217,,,0.0000,0.0000,0.0000,,,,0.0000,,,0.0187,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0540,0.0000,0.0000,0.0000,,,,,,,,
2023-08-14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0108,0.0000,0.1436,0.0000,0.0000,0.0000,0.0310,0.0000,,0.0000,0.0000,0.0000,0.0253,0.0000,0.2158,0.0000,0.0000,0.0000,0.0000,0.0767,0.0000,0.0000,0.2076,0.0363,0.0000,,0.0984,0.0000,,,0.0000,0.0000,0.0000,0.0149,0.0000,,0.0135,,,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0115,0.0653,0.0000,0.0000,,0.0000,0.0000,,0.0492,,0.0000,0.0000,0.0000,0.0000,,,,,,
2023-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1498,0.0000,0.0000,0.0000,0.0227,0.0000,,0.0000,0.0000,0.0000,0.0269,0.0000,0.2194,0.0000,0.0000,0.0000,0.0000,0.0720,0.0000,0.0000,0.2120,0.0311,0.0000,,0.0860,0.0000,,,0.0000,0.0000,0.0000,0.0102,0.0000,,0.0221,,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0088,0.0807,0.0000,0.0000,,0.0000,0.0000,,0.0583,,0.0000,0.0000,0.0000,0.0000,,,,,,
2023-08-28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1523,0.0000,0.0000,0.0000,0.0175,0.0000,,0.0000,0.0000,0.0000,0.0283,0.0000,0.2302,0.0000,0.0000,0.0000,0.0000,0.0720,0.0000,0.0000,0.2096,0.0325,0.0000,,0.0807,0.0000,,,0.0000,0.0000,0.0000,0.0094,0.0000,,0.0215,,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0081,0.0800,0.0000,0.0000,,0.0000,0.0000,,0.0579,,0.0000,0.0000,0.0000,0.0000,,,,,,
2023-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1507,0.0000,0.0000,0.0000,0.0177,0.0000,,0.0000,0.0000,0.0000,0.0269,0.0000,0.2306,0.0000,0.0000,0.0000,0.0000,0.0714,0.0000,0.0000,0.2105,0.0355,0.0000,,0.0838,0.0000,,,0.0000,0.0000,0.0000,0.0100,0.0000,,0.0183,,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0086,0.0789,0.0000,0.0000,,0.0000,0.0000,,0.0571,,0.0000,0.0000,0.0000,0.0000,,,,,,
2023-09-11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.1714,0.0000,0.0000,0.0000,0.0113,0.0000,,0.0000,0.0000,0.0000,0.0353,0.0000,0.2183,0.0000,0.0000,0.0067,0.0000,0.0748,0.0000,0.0000,0.2040,0.0395,0.0000,,0.0688,0.0000,,,0.0000,0.0000,0.0000,0.0068,0.0000,,0.0207,,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0023,0.0815,0.0000,0.0000,,0.0000,0.0000,,0.0574,,0.0000,0.0000,0.0000,0.0000,,,,,,
2023-09-18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0043,0.0000,0.1609,0.0000,0.0000,0.0000,0.0183,0.0000,,0.0000,0.0000,0.0000,0.0262,0.0000,0.2176,0.0000,0.0000,0.0018,0.0000,0.0750,0.0000,0.0000,0.2005,0.0301,0.0000,,0.0974,0.0000,,,0.0000,0.0000,0.0000,0.0052,0.0000,,0.0249,,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0097,0.0736,0.0000,0.0000,,0.0000,0.0000,,0.0545,,0.0000,0.0000,0.0000,0.0000,,,,,,
2023-09-25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0124,0.0000,0.1573,0.0000,0.0000,0.0000,0.0201,0.0000,,0.0000,0.0000,0.0000,0.0247,0.0000,0.2196,0.0000,0.0000,0.0010,0.0000,0.0740,0.0000,0.0000,0.2030,0.0271,0.0000,,0.0993,0.0000,,,0.0000,0.0000,0.0000,0.0074,0.0000,,0.0232,,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0103,0.0708,0.0000,0.0000,,0.0000,0.0000,,0.0496,,0.0000,0.0000,0.0000,0.0000,,,,,,
2023-10-02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0149,0.0000,0.1664,0.0000,0.0000,0.0000,0.0261,0.0088,,0.0000,0.0000,0.0000,0.0275,0.0000,0.1966,0.0000,0.0000,0.0017,0.0000,0.0798,0.0000,0.0000,0.2050,0.0300,0.0000,,0.0973,0.0000,,,0.0000,0.0000,0.0000,0.0011,0.0000,,0.0194,,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0054,0.0623,0.0000,0.0000,,0.0000,0.0000,,0.0577,,0.0000,0.0000,0.0000,0.0000,,,,,,
2023-10-09,0.0000,0.0000,0.0000,0.0000,0.0000,0.0252,0.0000,0.1754,0.0000,0.0000,0.0000,0.0201,0.0069,,0.0000,0.0000,0.0000,0.0319,0.0000,0.1850,0.0000,0.0000,0.0057,0.0000,0.0780,0.0000,0.0000,0.2073,0.0317,0.0000,,0.0927,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0025,0.0000,,0.0178,,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0026,0.0624,0.0000,0.0000,,0.0000,0.0000,,0.0548,,0.0000,0.0000,0.0000,0.0000,,,,,,
