,CMIN3.SA,PETZ3.SA,GOAU4.SA,PRIO3.SA,BBDC3.SA,ALPA4.SA,VIVT3.SA,MULT3.SA,DXCO3.SA,BBAS3.SA,RENT3.SA,WEGE3.SA,GMAT3.SA,HYPE3.SA,KLBN11.SA,USIM5.SA,ELET6.SA,LREN3.SA,TAEE11.SA,AZUL4.SA,TOTS3.SA,ENGI11.SA,SMTO3.SA,ISAE4.SA,B3SA3.SA,SLCE3.SA,CBAV3.SA,BBDC4.SA,ELET3.SA,VALE3.SA,ECOR3.SA,CRFB3.SA,MGLU3.SA,ABEV3.SA,GGBR4.SA,VAMO3.SA,MRFG3.SA,PCAR3.SA,CSNA3.SA,CYRE3.SA,ITUB4.SA,PSSA3.SA,RADL3.SA,FLRY3.SA,BEEF3.SA,CSAN3.SA,AZZA3.SA,BRKM5.SA,SIMH3.SA,ITSA4.SA,MDIA3.SA,VBBR3.SA,JBSS3.SA,STBP3.SA,CPLE6.SA,EZTC3.SA,EQTL3.SA,CMIG4.SA,CPFE3.SA,QUAL3.SA,GOLL4.SA,SUZB3.SA,SANB11.SA,CCRO3.SA,UGPA3.SA,EGIE3.SA,RAIZ4.SA,PETR4.SA,YDUQ3.SA,PETR3.SA,DIRR3.SA,BPAC11.SA,COGN3.SA,BBSE3.SA,MRVE3.SA,ENEV3.SA,RECV3.SA,IGTI11.SA,BRAV3.SA,LWSA3.SA,CVCB3.SA,SBSP3.SA,RAIL3.SA,CASH3.SA,BHIA3.SA,EMBR3.SA,ALOS3.SA,NTCO3.SA
2023-08-07,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0919,0.0000,0.0000,0.0000,0.0272,0.0000,0.0000,,0.1059,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0293,0.0000,,0.0000,0.0000,0.0000,0.0000,,0.0086,0.0000,0.0000,0.1764,0.0000,0.0000,0.0000,0.1137,0.0000,0.0000,0.0000,0.0000,0.0601,0.0000,0.0000,0.1274,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
2023-08-14,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.2543,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0883,0.0000,0.0000,,0.0307,0.0000,0.0000,,0.0979,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0335,0.0000,,0.0000,0.0000,0.0000,0.0000,,0.0144,0.0000,0.0000,0.1818,0.0000,0.0000,0.0000,0.0866,0.0000,0.0000,0.0000,0.0000,0.0642,0.0000,,0.1484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,
2023-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.2362,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0804,0.0000,0.0000,,0.0224,0.0000,0.0000,,0.0761,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0071,,0.0000,0.0000,0.0000,,0.0362,0.0000,,0.0000,0.0000,0.0000,0.0000,,0.0327,0.0000,0.0000,0.1881,0.0000,0.0000,0.0000,0.0951,0.0000,0.0000,0.0000,0.0000,0.0704,0.0000,,0.1554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,
2023-08-28,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.2323,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0797,0.0000,0.0000,,0.0241,0.0000,0.0000,,0.0666,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0062,,0.0000,0.0000,0.0000,,0.0360,0.0000,,0.0000,0.0000,0.0000,0.0000,,0.0326,0.0000,0.0000,0.1849,0.0000,0.0000,0.0000,0.1117,0.0000,0.0007,0.0000,0.0021,0.0691,0.0000,,0.1540,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,
2023-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.2338,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0796,0.0000,0.0000,,0.0305,0.0000,0.0000,,0.0704,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0347,0.0000,,0.0000,0.0000,0.0000,0.0000,,0.0315,0.0000,0.0000,0.1850,0.0000,0.0000,0.0000,0.1116,0.0000,0.0020,0.0000,0.0000,0.0677,0.0000,,0.1531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,
2023-09-11,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.2214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0792,0.0000,0.0000,,0.0266,0.0000,0.0000,,0.0585,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0033,,0.0000,0.0000,0.0000,,0.0401,0.0000,,0.0000,0.0000,0.0000,0.0000,,0.0345,0.0000,0.0000,0.1803,0.0000,0.0000,0.0000,0.1049,0.0000,0.0010,0.0000,0.0145,0.0643,0.0000,,0.1712,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,
2023-09-18,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.2388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0811,0.0000,0.0000,,0.0258,0.0000,0.0000,,0.0849,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0036,,0.0000,0.0000,0.0000,,0.0340,0.0000,,0.0000,0.0000,0.0000,0.0000,,0.0231,0.0000,0.0000,0.1767,0.0000,0.0000,0.0000,0.1020,0.0000,0.0000,0.0000,0.0090,0.0612,0.0000,,0.1599,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,
2023-09-25,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.2382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0804,0.0000,0.0000,,0.0214,0.0000,0.0000,,0.0893,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0019,,0.0000,0.0000,0.0000,,0.0317,0.0000,,0.0000,0.0000,0.0000,0.0000,,0.0228,0.0000,0.0000,0.1827,0.0000,0.0000,0.0000,0.1066,0.0000,0.0000,0.0000,0.0090,0.0559,0.0000,,0.1601,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,
2023-10-02,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.2428,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0827,0.0000,0.0000,,0.0196,0.0000,0.0000,,0.0888,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0325,0.0000,,0.0000,0.0026,0.0000,0.0000,,0.0136,0.0000,0.0000,0.1845,0.0000,0.0000,0.0000,0.0865,0.0000,0.0000,0.0000,0.0178,0.0635,0.0000,,0.1650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,
2023-10-09,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.2398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0801,0.0000,0.0000,,0.0196,0.0000,0.0000,,0.0855,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0369,0.0000,,0.0000,0.0000,0.0000,0.0000,,0.0154,0.0000,0.0000,0.1888,0.0000,0.0000,0.0000,0.0742,0.0000,0.0000,0.0000,0.0180,0.0600,0.0000,,0.1818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,
2023-10-16,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.2301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0802,0.0000,0.0000,,0.0161,0.0000,0.0000,,0.0885,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0338,0.0000,,0.0000,0.0000,0.0000,0.0000,,0.0184,0.0000,0.0000,0.1953,0.0000,0.0000,0.0000,0.0747,0.0000,0.0000,0.0000,0.0254,0.0605,0.0000,,0.1769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,
