,CMIN3.SA,GOAU4.SA,PRIO3.SA,BBDC3.SA,MULT3.SA,DXCO3.SA,BBAS3.SA,GMAT3.SA,HYPE3.SA,USIM5.SA,LREN3.SA,TAEE11.SA,AZUL4.SA,ENGI11.SA,SMTO3.SA,ISAE4.SA,B3SA3.SA,SLCE3.SA,CBAV3.SA,BBDC4.SA,VALE3.SA,CRFB3.SA,ABEV3.SA,GGBR4.SA,VAMO3.SA,MRFG3.SA,PCAR3.SA,CSNA3.SA,CYRE3.SA,ITUB4.SA,BEEF3.SA,CSAN3.SA,BRKM5.SA,SIMH3.SA,ITSA4.SA,VBBR3.SA,JBSS3.SA,EZTC3.SA,CMIG4.SA,CPFE3.SA,QUAL3.SA,GOLL4.SA,SUZB3.SA,SANB11.SA,CCRO3.SA,UGPA3.SA,EGIE3.SA,RAIZ4.SA,PETR4.SA,YDUQ3.SA,PETR3.SA,BPAC11.SA,CPLE6.SA,BBSE3.SA,MRVE3.SA,RECV3.SA,ECOR3.SA,IGTI11.SA,EQTL3.SA,ENEV3.SA,MDIA3.SA,DIRR3.SA,VIVT3.SA,ELET6.SA,BRAV3.SA,CVCB3.SA,TOTS3.SA,ELET3.SA,AZZA3.SA,BHIA3.SA,FLRY3.SA,RENT3.SA,PSSA3.SA,NTCO3.SA
2023-08-07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0637,0.0000,0.0000,0.2227,0.0000,0.0000,0.0000,0.0193,0.0000,0.0767,0.0000,0.0000,0.0324,0.0000,,0.0000,0.0000,,,0.0000,0.0000,0.0333,0.0098,0.0000,0.0000,0.0000,0.0000,,,0.0000,,0.0228,0.0000,0.0000,0.1739,0.0000,,0.0000,0.1864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0072,0.1361,0.0158,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,
2023-08-14,0.0000,0.0000,0.0000,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2404,0.0000,0.0000,0.0000,0.0426,0.0000,0.0763,0.0000,0.0000,0.0436,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0000,,0.0032,0.0000,0.0000,0.1829,0.0000,,,0.1763,0.0000,0.0000,,0.0000,0.0000,0.0000,0.1365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0432,0.0490,,,,,,,,,,,,
2023-08-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2468,0.0000,0.0000,0.0000,0.0132,0.0000,0.0724,0.0000,0.0000,0.0364,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0030,,0.0000,0.0000,,,,0.0000,,0.0230,0.0000,0.0000,0.1886,0.0000,,,0.1701,0.0000,0.0000,,0.0000,0.0000,,0.1427,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0452,0.0584,,,,,,,,,,,,
2023-08-28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2468,0.0000,0.0000,0.0000,0.0092,0.0000,0.0727,0.0000,0.0000,0.0365,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0027,,0.0000,0.0000,,,,0.0000,,0.0225,0.0000,0.0000,0.1877,0.0000,,,0.1763,0.0000,0.0000,,0.0000,0.0000,,0.1425,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0448,0.0582,,,,,,,,,,,,
2023-09-04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2485,0.0000,0.0000,0.0000,0.0166,0.0000,0.0715,0.0000,0.0000,0.0384,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0015,,0.0000,0.0000,,,,0.0000,,0.0167,0.0000,0.0000,0.1878,0.0000,,,0.1782,0.0000,0.0000,,0.0000,0.0000,,0.1405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0441,0.0560,,,,,,,,,,,,
2023-09-11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2335,0.0000,0.0000,0.0000,0.0000,0.0000,0.0749,0.0000,0.0000,0.0351,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0063,,0.0000,0.0000,,,,0.0000,,0.0327,0.0000,0.0000,0.1829,0.0000,,,0.1549,0.0000,0.0000,,0.0000,0.0000,,0.1687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0497,0.0613,,,,,,,,,,,,
2023-09-18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2346,0.0000,0.0000,0.0000,0.0516,0.0000,0.0746,0.0000,0.0000,0.0339,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0093,,0.0000,0.0000,,,,0.0000,,0.0060,0.0000,0.0000,0.1769,0.0000,,,0.1687,0.0000,0.0000,,0.0000,0.0000,,0.1495,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0440,0.0509,,,,,,,,,,,,
2023-09-25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2308,0.0000,0.0000,0.0000,0.0642,0.0000,0.0739,0.0000,0.0000,0.0327,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0083,,0.0000,0.0000,,,,0.0000,,0.0022,0.0000,0.0000,0.1788,0.0000,,,0.1739,0.0000,0.0000,,0.0000,0.0000,,0.1462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0427,0.0463,,,,,,,,,,,,
2023-10-02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.2437,0.0000,0.0000,0.0000,0.0398,0.0000,0.0770,0.0000,0.0000,0.0333,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0063,,0.0000,0.0000,,,,0.0000,,0.0032,0.0000,0.0000,0.1821,0.0000,,,0.1499,0.0000,0.0000,,0.0000,0.0000,,0.1608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0461,0.0567,,,,,,,,,,,,
2023-10-09,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2506,0.0000,0.0000,0.0000,0.0181,0.0000,0.0739,0.0000,0.0000,0.0315,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0061,0.0079,,0.0000,0.0000,,,,0.0000,,0.0085,0.0000,0.0000,0.1863,0.0000,,,0.1447,0.0000,0.0000,,0.0000,0.0000,,0.1687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0469,0.0568,,,,,,,,,,,,
